iter	Passed	Remaining
1049	7511	13950
1050	7523	13951
1051	7535	13954
1052	7550	13960
1053	7567	13972
1054	7582	13979
1055	7598	13987
1056	7606	13983
1057	7621	13988
1058	7636	13995
1059	7653	14007
1060	7673	14023
1061	7688	14030
1062	7702	14034
1063	7713	14034
1064	7721	14029
1065	7735	14033
1066	7749	14039
1067	7761	14039
1068	7769	14033
1069	7782	14036
1070	7788	14027
1071	7798	14025
1072	7810	14026
1073	7819	14023
1074	7830	14021
1075	7845	14029
1076	7854	14024
1077	7864	14022
1078	7878	14025
1079	7885	14017
1080	7895	14016
1081	7907	14016
1082	7914	14009
1083	7924	14006
1084	7931	13998
1085	7943	14000
1086	7950	13992
1087	7960	13990
1088	7968	13984
1089	7979	13982
1090	7989	13979
1091	7995	13969
1092	8001	13961
1093	8010	13955
1094	8019	13951
1095	8027	13944
1096	8033	13936
1097	8041	13930
1098	8048	13921
1099	8057	13917
1100	8063	13908
1101	8072	13902
1102	8079	13896
1103	8089	13892
1104	8096	13885
1105	8106	13881
1106	8113	13873
1107	8121	13868
1108	8128	13861
1109	8137	13855
1110	8144	13848
1111	8153	13843
1112	8160	13834
1113	8167	13828
1114	8174	13820
1115	8182	13813
1116	8188	13804
1117	8195	13796
1118	8202	13788
1119	8208	13779
1120	8217	13774
1121	8223	13764
1122	8231	13757
1123	8239	13751
1124	8248	13747
1125	8255	13739
1126	8260	13729
1127	8268	13722
1128	8275	13714
1129	8282	13706
1130	8289	13698
1131	8295	13689
1132	8302	13680
1133	8309	13673
1134	8318	13668
1135	8325	13660
1136	8332	13653
1137	8340	13646
1138	8348	13639
1139	8354	13631
1140	8360	13622
1141	8368	13614
1142	8374	13605
1143	8382	13600
1144	8388	13590
1145	8395	13581
1146	8402	13574
1147	8409	13567
1148	8417	13559
1149	8424	13552
1150	8432	13546
1151	8440	13539
1152	8449	13534
1153	8454	13524
1154	8461	13516
1155	8468	13508
1156	8475	13501
1157	8482	13493
1158	8490	13485
1159	8497	13479
1160	8505	13472
1161	8512	13465
1162	8519	13456
1163	8527	13450
1164	8535	13444
1165	8543	13437
1166	8550	13430
1167	8559	13425
1168	8566	13418
1169	8574	13410
1170	8580	13402
1171	8587	13393
1172	8594	13386
1173	8600	13377
1174	8607	13369
1175	8613	13360
1176	8618	13349
1177	8626	13342
1178	8633	13335
1179	8647	13338
1180	8655	13331
1181	8662	13323
1182	8668	13313
1183	8676	13307
1184	8682	13298
1185	8690	13291
1186	8696	13282
1187	8701	13272
1188	8709	13265
1189	8715	13256
1190	8721	13247
1191	8728	13239
1192	8738	13236
1193	8747	13230
1194	8755	13224
1195	8762	13217
1196	8771	13212
1197	8779	13206
1198	8788	13200
1199	8796	13194
1200	8805	13189
1201	8813	13183
1202	8825	13182
1203	8836	13181
1204	8845	13176
1205	8872	13198
1206	8884	13198
1207	8892	13191
1208	8900	13185
1209	8907	13177
1210	8914	13169
1211	8921	13161
1212	8927	13151
1213	8933	13143
1214	8940	13134
1215	8946	13126
1216	8954	13118
1217	8960	13110
1218	8967	13102
1219	8974	13093
1220	8980	13084
1221	8988	13078
1222	8994	13068
1223	9001	13061
1224	9008	13052
1225	9014	13043
1226	9022	13036
1227	9029	13029
1228	9039	13025
1229	9046	13017
1230	9055	13013
1231	9063	13006
1232	9071	13000
1233	9077	12991
1234	9100	13005
1235	9115	13009
1236	9125	13005
1237	9134	13000
1238	9141	12992
1239	9149	12986
1240	9156	12977
1241	9162	12968
1242	9169	12961
1243	9176	12952
1244	9184	12947
1245	9190	12937
1246	9198	12931
1247	9204	12921
1248	9211	12913
1249	9218	12905
1250	9224	12896
1251	9232	12889
1252	9238	12880
1253	9244	12871
1254	9251	12863
1255	9257	12854
1256	9265	12847
1257	9271	12839
1258	9279	12832
1259	9285	12823
1260	9291	12814
1261	9300	12808
1262	9307	12800
1263	9315	12793
1264	9321	12784
1265	9328	12776
1266	9334	12767
1267	9340	12758
1268	9347	12750
1269	9353	12741
1270	9361	12735
1271	9369	12727
1272	9378	12722
1273	9384	12713
1274	9390	12704
1275	9398	12697
1276	9403	12688
1277	9410	12680
1278	9416	12670
1279	9422	12661
1280	9430	12655
1281	9438	12647
1282	9446	12641
1283	9453	12633
1284	9460	12626
1285	9467	12618
1286	9474	12611
1287	9481	12602
1288	9488	12595
1289	9495	12587
1290	9502	12579
1291	9509	12571
1292	9516	12563
1293	9525	12558
1294	9533	12551
1295	9540	12544
1296	9547	12536
1297	9553	12526
1298	9560	12518
1299	9567	12511
1300	9575	12505
1301	9582	12497
1302	9590	12490
1303	9596	12481
1304	9602	12472
1305	9611	12466
1306	9619	12460
1307	9631	12459
1308	9640	12453
1309	9647	12446
1310	9654	12438
1311	9661	12430
1312	9668	12423
1313	9676	12415
1314	9684	12409
1315	9693	12403
1316	9700	12396
1317	9710	12391
1318	9718	12385
1319	9726	12378
1320	9733	12371
1321	9741	12364
1322	9749	12358
1323	9757	12351
1324	9764	12343
1325	9773	12337
1326	9780	12330
1327	9787	12322
1328	9794	12314
1329	9802	12308
1330	9810	12301
1331	9817	12294
1332	9827	12289
1333	9835	12283
1334	9842	12275
1335	9849	12267
1336	9856	12259
1337	9861	12249
1338	9868	12242
1339	9875	12233
1340	9880	12223
1341	9887	12215
1342	9894	12207
1343	9901	12200
1344	9907	12191
1345	9914	12183
1346	9921	12175
1347	9927	12165
1348	9934	12158
1349	9940	12149
1350	9947	12141
1351	9953	12132
1352	9960	12124
1353	9967	12116
1354	9973	12108
1355	9980	12100
1356	9987	12092
1357	9993	12083
1358	10000	12075
1359	10006	12066
1360	10014	12059
1361	10021	12051
1362	10028	12044
1363	10035	12036
1364	10042	12028
1365	10048	12019
1366	10054	12011
1367	10062	12003
1368	10068	11995
1369	10074	11986
1370	10080	11977
1371	10087	11969
1372	10093	11960
1373	10099	11951
1374	10105	11943
1375	10113	11935
1376	10118	11926
1377	10124	11917
1378	10131	11909
1379	10139	11902
1380	10147	11896
1381	10155	11889
1382	10168	11888
1383	10200	11909
1384	10227	11925
1385	10235	11919
1386	10250	11920
1387	10265	11922
1388	10272	11914
1389	10278	11905
1390	10285	11897
1391	10290	11887
1392	10299	11881
1393	10308	11875
1394	10316	11869
1395	10322	11860
1396	10329	11852
1397	10336	11844
1398	10343	11837
1399	10349	11828
1400	10355	11818
1401	10362	11811
1402	10369	11803
1403	10376	11795
1404	10383	11787
1405	10391	11780
1406	10397	11772
1407	10405	11764
1408	10412	11757
1409	10419	11749
1410	10429	11745
1411	10436	11737
1412	10443	11730
1413	10450	11721
1414	10457	11713
1415	10463	11704
1416	10470	11696
1417	10476	11688
1418	10482	11679
1419	10491	11673
1420	10498	11665
1421	10505	11658
1422	10514	11651
1423	10522	11645
1424	10528	11637
1425	10535	11629
1426	10544	11623
1427	10551	11615
1428	10561	11610
1429	10567	11602
1430	10575	11595
1431	10583	11588
1432	10591	11581
1433	10597	11573
1434	10605	11566
1435	10615	11561
1436	10624	11556
1437	10631	11548
1438	10642	11544
1439	10650	11537
1440	10658	11531
1441	10665	11523
1442	10672	11516
1443	10680	11508
1444	10687	11500
1445	10693	11491
1446	10701	11485
1447	10708	11478
1448	10716	11470
1449	10723	11463
1450	10729	11454
1451	10737	11447
1452	10744	11439
1453	10750	11431
1454	10758	11424
1455	10765	11416
1456	10772	11407
1457	10778	11399
1458	10786	11392
1459	10791	11383
1460	10798	11374
1461	10805	11367
1462	10811	11358
1463	10821	11353
1464	10827	11345
1465	10835	11338
1466	10841	11329
1467	10848	11321
1468	10856	11314
1469	10863	11306
1470	10869	11298
1471	10875	11289
1472	10882	11281
1473	10888	11272
1474	10895	11264
1475	10901	11256
